"BARR (CHANGUE)",,,,,,,,,,,,
Grid ref,NX287943,Long,-4.693978,Lat,55.213143,,,,,,,
Station no,5271/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,8.17,2.36,4.25,,
February,,,,,,,,5.51,2.93,7.19,,
March,,,,,,,,1.53,5.11,1.89,,
April,,,,,,,,2.58,4.13,5.16,,
May,,,,,,,,3.02,1.97,1.82,,
June,,,,,,,,3.79,3.12,3.27,,
July,,,,,,,,5.31,4.42,6.04,,
August,,,,,,,,4.99,1.48,4.63,,
September,,,,,,,,5.82,2.54,4.59,,
October,,,,,,,,4.19,8.92,3.12,,
November,,,,,,,,2.61,5.89,8.78,,
December,,,,,,,,6.81,9.30,6.60,,
Total,,,,,,,,54.33,52.17,57.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.33,52.17,57.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
