"WORTHEN",,,,,,,,,,,,
Grid ref,SJ326045,Long,-2.997334,Lat,52.634047,,,,,,,
Station no,2286/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,3.64,,2.05,2.68,3.72,,2.44,4.26,,,
February,3.86,0.78,,2.02,2.16,0.37,,3.94,0.27,,,
March,4.32,1.26,,2.28,2.95,1.15,,1.02,2.01,,,
April,1.94,1.43,,0.55,1.33,1.40,,0.50,4.02,,,
May,3.70,1.84,,3.72,4.37,0.40,,2.23,1.78,,,
June,0.67,2.42,,4.04,3.78,1.05,,3.35,1.80,,,
July,1.98,0.83,,2.73,0.35,3.53,,3.69,1.53,,,
August,3.56,3.10,,4.29,1.53,3.00,,2.25,1.19,,,
September,2.05,1.99,,1.98,1.06,4.38,,4.64,0.14,,,
October,1.29,3.69,,4.33,1.22,1.87,,2.57,2.60,,,
November,6.62,2.86,,6.15,2.03,1.07,,1.79,4.03,,,
December,2.83,2.96,,2.60,3.12,2.82,,3.09,5.17,,,
Total,35.69,26.80,,36.74,26.58,24.76,,31.51,28.80,,,
Calc annual,35.69,26.80,0.00,36.74,26.58,24.76,0.00,31.51,28.80,0.00,,
Difference,0.00,0.00,NaN,0.00,-0.00,0.00,NaN,0.00,-0.00,NaN,,
