"COVENTRY (BELVEDERE ROAD)",,,,,,,,,,,,
Grid ref,SP324778,Long,-1.525256,Lat,52.397264,,,,,,,
Station no,2467/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,2.16,1.08,0.88,2.20,4.57,1.34,3.01,4.00,4.74,,
February,3.07,0.54,1.38,2.70,1.83,0.67,3.27,3.52,0.08,1.95,,
March,4.06,2.58,1.34,2.58,2.80,0.93,2.48,1.72,1.89,1.42,,
April,2.29,2.39,2.08,0.43,1.04,0.68,0.29,0.98,2.96,0.79,,
May,3.41,3.01,1.67,2.39,4.96,0.68,1.49,2.25,0.57,1.22,,
June,1.54,1.40,2.05,2.83,3.03,2.06,1.61,3.80,0.87,2.59,,
July,1.46,0.32,3.06,3.56,1.04,2.40,4.16,4.69,1.30,3.69,,
August,5.73,4.49,2.65,3.78,0.61,5.63,2.21,1.81,1.38,2.90,,
September,1.55,1.47,1.92,1.96,1.37,1.93,4.44,2.67,0.04,4.24,,
October,1.03,4.15,2.75,3.46,1.33,1.83,1.37,2.72,2.63,5.28,,
November,6.11,2.11,1.11,5.80,2.03,0.69,1.57,2.08,2.93,3.44,,
December,1.76,2.60,0.93,1.91,2.23,3.78,2.32,2.76,4.16,3.47,,
Total,34.64,27.22,22.02,32.28,24.47,25.85,26.55,32.01,22.81,35.73,,
Calc annual,34.64,27.22,22.02,32.28,24.47,25.85,26.55,32.01,22.81,35.73,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
