"PARKSTONE (BALMORAL ROAD)",,,,,,,,,,,,
Grid ref,SZ041914,Long,-1.943282,Lat,50.722211,,,,,,,
Station no,1582/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.78,2.29,0.94,1.89,3.51,5.06,2.17,4.40,2.95,3.87,,
February,5.95,0.71,1.42,3.32,2.07,0.14,4.94,3.02,0.40,2.98,,
March,4.28,2.59,0.59,4.78,1.43,1.15,2.74,1.90,2.96,2.48,,
April,2.77,2.01,2.33,0.17,0.52,2.27,0.21,0.78,2.82,1.95,,
May,2.24,2.25,2.40,3.26,4.41,0.61,1.60,2.37,1.28,2.28,,
June,0.51,1.03,3.29,2.80,2.83,2.72,1.72,3.64,1.96,1.21,,
July,1.29,0.88,3.14,3.40,0.55,3.77,2.97,2.21,2.05,3.99,,
August,4.67,3.48,1.83,3.03,1.05,3.75,2.60,3.34,1.43,4.66,,
September,3.98,4.73,2.99,3.99,1.56,4.53,3.07,4.74,0.21,6.96,,
October,1.82,5.51,3.60,3.23,4.99,1.44,2.62,3.20,2.96,10.58,,
November,10.99,4.19,2.34,6.47,3.03,1.04,2.35,2.74,3.95,6.35,,
December,3.97,3.00,0.86,3.23,5.44,4.15,2.49,4.15,7.72,3.11,,
Total,46.25,32.67,25.73,39.57,31.39,30.63,29.48,36.49,30.69,50.42,,
Calc annual,46.25,32.67,25.73,39.57,31.39,30.63,29.48,36.49,30.69,50.42,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
