"BURY ST. EDMUNDS (BEET SUGAR FACTORY)",,,,,,,,,,,,
Grid ref,TL862664,Long,0.727137,Lat,52.264234,,,,,,,
Station no,1391,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.19,1.75,0.79,1.42,1.69,3.25,1.71,2.19,2.56,2.46,,
February,3.38,0.84,1.03,2.14,1.82,0.76,2.21,3.36,0.15,1.38,,
March,3.67,2.66,0.51,2.38,1.36,0.63,1.63,0.65,2.01,1.29,,
April,3.47,1.26,2.23,0.34,0.35,0.91,0.31,1.21,1.96,0.50,,
May,2.16,1.13,1.68,2.39,1.85,0.73,1.08,2.17,0.24,0.41,,
June,1.38,2.41,3.13,2.16,2.40,3.27,1.21,4.01,1.06,3.45,,
July,1.56,0.69,3.15,2.93,0.09,1.49,3.11,2.79,2.38,3.37,,
August,3.56,2.80,1.77,3.98,2.41,4.72,2.99,2.48,0.51,4.13,,
September,3.31,2.44,1.52,1.37,2.13,1.98,3.79,2.92,0.02,3.76,,
October,0.57,2.51,2.42,1.78,4.12,1.66,1.69,1.78,1.95,4.94,,
November,3.57,3.70,1.48,3.77,0.67,0.68,1.71,1.52,2.21,2.83,,
December,1.49,2.03,0.79,2.45,1.48,2.32,2.10,3.03,4.01,2.71,,
Total,30.31,24.22,20.50,27.11,20.37,22.40,23.54,28.11,19.06,31.23,,
Calc annual,30.31,24.22,20.50,27.11,20.37,22.40,23.54,28.11,19.06,31.23,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
