"GLENWHERRY (MANSE)",,,,,,,,,,,,
Grid ref,ZZ000000,Long,NaN,Lat,NaN,,,,,,,
Station no,6234/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.74,,,,,,,,,,,
February,3.15,,,,,,,,,,,
March,3.39,2.02,,,,,,,,,,
April,2.28,2.34,,,,,,,,,,
May,2.15,1.16,,,,,,,,,,
June,4.65,3.41,,,,,,,,,,
July,,3.04,,,,,,,,,,
August,4.99,,,,,,,,,,,
September,,,,,,,,,,,,
October,1.20,,,,,,,,,,,
November,9.64,,,,,,,,,,,
December,6.19,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,42.38,11.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
