"SUDBURY (EDWARDSTONE)",,,,,,,,,,,,
Grid ref,TL943422,Long,0.831847,Lat,52.044133,,,,,,,
Station no,1336/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.70,2.25,0.69,1.20,2.22,3.47,1.16,2.29,1.81,2.24,,
February,4.04,0.60,0.95,1.91,1.97,0.76,2.24,2.96,0.15,1.28,,
March,3.19,3.22,0.41,2.09,1.15,0.71,1.61,0.71,1.60,1.56,,
April,2.72,1.00,1.75,0.37,0.20,0.73,0.14,1.16,1.76,0.53,,
May,2.29,0.88,1.57,1.78,2.87,0.72,0.98,2.08,0.24,0.42,,
June,1.33,0.79,3.81,2.68,3.38,2.00,1.72,5.01,1.47,0.98,,
July,3.77,0.68,2.60,2.97,0.16,3.04,2.90,2.23,1.15,3.49,,
August,2.93,2.23,1.65,3.81,2.89,5.02,2.70,3.93,0.87,3.66,,
September,2.75,2.20,1.86,1.16,1.71,1.70,2.71,3.34,0.04,4.88,,
October,0.63,2.10,2.29,1.74,3.50,2.13,1.91,2.04,1.87,5.69,,
November,4.07,3.95,1.13,3.39,0.65,0.66,2.75,1.38,2.41,3.34,,
December,1.62,2.21,0.81,1.95,1.55,1.78,1.68,3.14,3.67,2.54,,
Total,31.04,22.11,19.52,25.05,22.25,22.72,22.50,30.27,17.04,30.61,,
Calc annual,31.04,22.11,19.52,25.05,22.25,22.72,22.50,30.27,17.04,30.61,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
