"WEIR WOOD RESERVOIR",,,,,,,,,,,,
Grid ref,TQ406354,Long,0.006715,Lat,51.100671,,,,,,,
Station no,574/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,1.24,1.76,3.66,5.24,3.08,3.84,3.30,3.40,,
February,,-999.00,1.72,2.86,2.13,0.44,6.49,2.51,0.02,2.90,,
March,,-999.00,0.29,4.30,1.44,0.90,1.52,1.48,2.00,1.96,,
April,,2.34,3.26,0.39,0.28,1.25,0.21,1.65,3.06,0.83,,
May,,1.33,2.14,2.21,4.91,0.58,1.47,2.25,0.43,1.41,,
June,,1.59,2.13,4.42,2.02,2.89,1.24,4.31,1.16,1.69,,
July,,0.82,3.56,3.41,0.73,3.52,3.26,2.18,1.81,3.63,,
August,,3.47,2.74,3.33,0.73,2.96,3.02,3.09,0.85,4.86,,
September,,3.11,5.05,3.28,2.53,3.82,3.27,7.81,0.08,2.39,,
October,,3.31,3.96,2.67,4.60,1.70,1.62,3.25,3.41,8.03,,
November,,4.49,1.85,7.17,1.67,0.81,4.18,1.91,3.66,6.64,,
December,,3.21,0.86,2.64,3.61,5.29,2.88,5.24,8.06,4.39,,
Total,,-999.00,28.80,38.44,28.31,29.40,32.24,39.52,27.84,42.13,,
Calc annual,0.00,23.67,28.80,38.44,28.31,29.40,32.24,39.52,27.84,42.13,,
Difference,NaN,-1022.67,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
