"STAMFORD (ST. GEORGE'S SQUARE)",,,,,,,,,,,,
Grid ref,TF030071,Long,-0.478867,Lat,52.651860,,,,,,,
Station no,2526/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.19,2.09,3.96,0.66,2.27,3.21,3.46,,
February,,,,2.58,2.30,0.50,2.43,3.22,0.09,1.89,,
March,,,,2.05,2.18,0.65,1.63,1.35,2.00,1.79,,
April,,,,0.34,0.69,1.01,0.26,0.53,1.70,0.31,,
May,,,,2.38,3.14,0.72,1.41,1.75,0.69,0.98,,
June,,,,3.20,2.02,2.39,2.18,4.38,0.46,1.75,,
July,,,,1.83,0.23,2.91,2.89,2.61,1.99,2.66,,
August,,,,4.09,0.61,5.43,2.86,2.62,1.06,3.07,,
September,,,,2.04,1.19,1.67,4.85,1.56,0.07,3.53,,
October,,,,2.24,1.97,0.91,0.90,1.70,1.24,5.43,,
November,,,,4.73,1.21,0.78,1.50,1.31,1.81,2.93,,
December,,,,2.44,1.56,2.11,2.24,2.23,3.63,3.00,,
Total,,,,29.11,19.19,23.04,23.81,25.53,17.95,30.80,,
Calc annual,0.00,0.00,0.00,29.11,19.19,23.04,23.81,25.53,17.95,30.80,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
