"FYVIE CASTLE",,,,,,,,,,,,
Grid ref,NJ764393,Long,-2.394819,Lat,57.443401,,,,,,,
Station no,5658,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.35,2.95,1.59,1.33,2.07,4.06,2.05,4.02,4.80,3.89,,
February,3.74,2.38,0.79,3.49,3.57,2.12,2.14,4.41,0.65,3.01,,
March,3.07,2.45,0.74,2.51,2.12,1.57,2.14,2.75,1.52,1.53,,
April,4.17,1.90,1.73,1.21,1.42,1.82,1.38,1.47,1.42,1.66,,
May,1.19,1.31,1.68,4.59,3.03,0.19,2.00,2.09,0.78,0.97,,
June,2.89,2.95,3.24,3.67,0.67,2.63,4.06,1.17,1.16,1.18,,
July,4.66,1.99,4.41,3.36,0.80,5.24,6.71,4.41,2.42,3.44,,
August,3.93,4.12,3.09,2.36,0.48,3.68,3.56,3.74,1.04,4.97,,
September,0.68,3.84,3.89,2.17,1.79,1.80,2.93,2.20,0.86,2.77,,
October,1.53,2.18,1.76,5.42,6.18,3.22,1.67,1.96,4.20,7.73,,
November,7.62,4.78,1.86,5.47,1.83,2.15,1.93,0.95,4.68,4.89,,
December,2.53,4.08,2.53,5.04,5.84,3.26,5.28,3.14,3.57,1.97,,
Total,39.36,34.93,27.31,40.62,29.80,31.74,35.85,32.31,27.10,38.01,,
Calc annual,39.36,34.93,27.31,40.62,29.80,31.74,35.85,32.31,27.10,38.01,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
