"DRAYTON ST. LEONARD (GUY'S)",,,,,,,,,,,,
Grid ref,SU598961,Long,-1.136862,Lat,51.660511,,,,,,,
Station no,1085/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.19,1.24,0.84,1.14,2.13,3.52,,,,,,
February,3.76,0.54,1.70,2.15,1.17,0.39,,,,,,
March,3.32,2.25,0.51,2.16,0.96,0.62,,,,,,
April,2.15,1.30,2.10,0.30,0.51,1.39,,,,,,
May,3.14,2.09,1.52,2.00,3.94,0.25,,,,,,
June,1.60,1.67,1.55,3.03,1.90,2.08,,,,,,
July,1.22,0.43,2.89,2.48,0.15,2.16,,,,,,
August,3.34,3.24,1.63,3.35,0.38,3.43,,,,,,
September,2.53,1.76,2.00,1.16,1.43,2.22,,,,,,
October,0.80,3.29,2.39,1.60,1.69,1.91,,,,,,
November,4.96,2.79,1.32,4.07,1.39,0.75,,,,,,
December,1.61,2.37,0.56,1.92,2.54,2.58,,,,,,
Total,30.62,22.97,19.01,25.36,18.19,21.30,,,,,,
Calc annual,30.62,22.97,19.01,25.36,18.19,21.30,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
