"CROPTON (SPIERS HOUSE)",,,,,,,,,,,,
Grid ref,SE758918,Long,-0.836287,Lat,54.316171,,,,,,,
Station no,3464/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.77,,
February,,,,,,,,,,3.60,,
March,,,,,,,,,,1.40,,
April,,,,,,,,,,0.97,,
May,,,,,,,,,,1.72,,
June,,,,,,,,,,0.52,,
July,,,,,,,,,,5.10,,
August,,,,,,,,,,2.87,,
September,,,,,,,,,,3.08,,
October,,,,,,,,,,10.69,,
November,,,,,,,,,,4.67,,
December,,,,,,,,,,3.89,,
Total,,,,,,,,,,44.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
