"NUNEATON (BEDWORTH WATERWORKS)",,,,,,,,,,,,
Grid ref,SP354866,Long,-1.480239,Lat,52.476188,,,,,,,
Station no,2468/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.44,2.08,0.90,0.78,1.65,3.39,1.24,2.72,2.76,4.17,,
February,2.94,0.56,1.35,2.32,1.71,0.41,2.39,3.23,0.06,1.67,,
March,3.68,2.46,1.33,2.25,2.45,0.55,2.38,1.50,1.57,1.16,,
April,1.89,2.22,1.90,0.45,0.98,0.53,0.20,0.92,2.97,0.95,,
May,3.69,3.36,1.28,2.32,3.86,0.57,1.54,2.17,0.51,1.09,,
June,1.26,2.03,2.52,2.30,2.38,2.66,1.28,4.85,0.54,4.19,,
July,1.23,0.31,3.36,2.80,1.56,2.24,3.25,5.45,1.02,3.13,,
August,6.31,3.96,2.16,3.76,0.68,3.81,2.75,1.73,1.28,2.28,,
September,1.43,1.58,1.67,1.64,1.62,1.50,4.43,2.86,0.06,4.17,,
October,0.86,3.72,3.05,3.36,1.87,1.36,1.12,2.49,2.37,5.09,,
November,6.16,1.97,0.89,4.95,1.94,0.76,1.45,2.04,2.91,4.13,,
December,2.00,2.25,0.67,1.49,1.75,2.13,2.53,2.77,3.54,3.53,,
Total,33.89,26.50,21.08,28.42,22.45,19.91,24.56,32.73,19.59,35.56,,
Calc annual,33.89,26.50,21.08,28.42,22.45,19.91,24.56,32.73,19.59,35.56,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,,
