"FAULDHOUSE SEWAGE WORKS",,,,,,,,,,,,
Grid ref,NS940603,Long,-3.693537,Lat,55.824268,,,,,,,
Station no,5145/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,2.79,,
August,,,,,,,,,,2.89,,
September,,,,,,,,,,2.14,,
October,,,,,,,,,,2.90,,
November,,,,,,,,,,4.25,,
December,,,,,,,,,,4.84,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
