"SKYE (BROADFORD)",,,,,,,,,,,,
Grid ref,NG643243,Long,-5.908822,Lat,57.248468,,,,,,,
Station no,5756/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.72,7.54,7.56,7.61,4.30,6.11,,,,,,
February,4.46,4.40,6.30,4.80,3.77,4.43,,,,,,
March,4.34,6.68,3.58,6.65,1.87,3.58,,,,,,
April,6.04,4.61,5.97,2.43,5.60,2.99,,,,,,
May,0.71,3.63,4.18,3.50,2.78,7.45,,,,,,
June,3.12,6.71,1.65,4.16,5.02,2.90,,,,,,
July,7.41,3.01,6.71,4.18,0.97,7.77,,,,,,
August,6.20,6.06,8.00,5.68,1.70,6.11,,,,,,
September,7.83,7.08,8.45,10.77,10.11,5.69,,,,,,
October,5.39,7.93,11.84,13.97,11.55,7.59,,,,,,
November,8.20,5.60,15.91,10.55,2.52,7.27,,,,,,
December,13.03,7.83,6.88,12.46,12.13,11.95,,,,,,
Total,76.45,71.08,87.03,86.76,62.32,73.84,,,,,,
Calc annual,76.45,71.08,87.03,86.76,62.32,73.84,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
