"TREHERBERT (TYN-Y-WAUN) CHECK GAUGE",,,,,,,,,,,,
Grid ref,SS932994,Long,-3.546220,Lat,51.683171,,,,,,,
Station no,4082,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.01,11.40,3.31,6.55,7.96,12.92,15.92,10.19,11.25,11.96,,
February,10.05,2.63,4.88,10.79,4.01,0.95,10.53,12.11,0.72,11.74,,
March,9.67,7.76,6.68,9.10,5.35,5.15,13.34,2.13,9.67,4.24,,
April,8.34,6.90,5.78,3.40,6.45,2.70,0.91,2.47,8.06,6.65,,
May,4.32,5.16,6.18,6.71,9.28,2.93,4.29,7.88,3.27,2.54,,
June,3.56,5.14,5.54,10.73,10.67,5.55,1.38,6.31,3.91,5.62,,
July,2.74,4.50,12.84,9.05,2.68,7.82,9.53,8.05,7.24,10.04,,
August,12.75,10.56,9.12,9.67,1.88,10.85,7.62,9.20,2.28,9.74,,
September,9.27,4.39,10.11,13.95,4.12,9.99,14.84,15.91,0.73,8.19,,
October,2.14,9.69,6.27,20.75,6.98,3.72,10.85,12.05,10.98,11.45,,
November,17.76,6.38,10.53,18.97,8.93,3.35,4.07,4.79,14.69,23.38,,
December,11.56,7.66,3.01,11.04,15.71,11.94,8.42,9.18,22.10,13.35,,
Total,105.17,82.17,84.25,130.71,84.02,77.87,101.70,100.27,94.90,118.90,,
Calc annual,105.17,82.17,84.25,130.71,84.02,77.87,101.70,100.27,94.90,118.90,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
