"CHORLEY (FILTER BEDS)",,,,,,,,,,,,
Grid ref,SD604171,Long,-2.600554,Lat,53.648894,,,,,,,
Station no,3005/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.67,4.80,2.02,3.87,2.80,5.63,2.93,4.30,3.07,6.22,,
February,3.67,1.40,1.50,3.60,2.43,0.77,3.33,7.03,0.53,3.73,,
March,5.07,2.37,1.92,2.83,2.00,1.60,3.53,2.03,2.23,2.68,,
April,2.77,3.97,3.40,1.03,2.50,2.73,0.70,1.52,3.07,2.40,,
May,2.87,2.37,2.43,3.23,3.42,1.58,2.17,4.73,2.28,2.35,,
June,1.07,3.38,2.70,4.00,3.80,2.40,2.60,4.53,2.23,1.37,,
July,2.83,2.90,4.33,4.47,1.07,6.28,6.37,3.77,4.63,7.10,,
August,4.63,4.83,5.53,6.37,1.27,12.70,6.28,4.45,0.80,5.07,,
September,3.55,4.83,4.63,5.27,4.63,3.93,7.38,5.10,0.43,3.42,,
October,1.03,5.37,2.50,8.73,2.50,2.97,6.17,3.83,4.63,3.70,,
November,9.10,2.90,5.90,7.77,2.65,1.30,2.13,2.05,5.73,7.53,,
December,8.40,3.90,2.10,5.50,5.20,4.40,4.73,3.77,8.83,4.67,,
Total,49.66,43.02,38.96,56.67,34.27,46.29,48.32,47.11,38.46,50.24,,
Calc annual,49.66,43.02,38.96,56.67,34.27,46.29,48.32,47.11,38.46,50.24,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
