"WEYMOUTH (WESTHAM)",,,,,,,,,,,,
Grid ref,SY676791,Long,-2.459265,Lat,50.610707,,,,,,,
Station no,1553,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.71,2.29,0.76,1.66,2.95,4.26,3.10,2.88,4.53,3.25,,
February,5.37,0.59,1.74,3.11,1.85,0.11,3.98,2.82,0.33,2.90,,
March,3.84,3.06,0.57,3.91,1.43,0.77,2.60,1.17,3.55,2.97,,
April,2.51,1.64,2.16,0.02,0.67,1.41,0.24,0.49,1.94,2.52,,
May,2.71,2.47,2.78,1.37,-999.00,0.55,1.89,1.95,0.83,1.77,,
June,0.39,1.25,1.85,2.40,2.78,2.26,2.43,2.55,0.79,1.95,,
July,1.90,0.57,3.03,3.24,7.20,2.35,4.71,2.33,1.43,3.26,,
August,4.29,1.91,1.64,2.60,0.49,2.97,2.37,2.53,1.49,5.69,,
September,3.77,4.00,2.61,2.93,1.63,5.76,3.25,4.32,0.27,5.58,,
October,0.86,4.68,3.32,2.36,3.77,1.61,2.49,3.30,3.48,8.32,,
November,8.19,4.06,1.63,5.49,2.78,0.79,2.53,3.63,4.31,5.73,,
December,2.76,2.95,0.57,3.23,5.47,4.77,2.26,4.64,7.57,4.04,,
Total,40.30,29.47,22.66,32.32,34.51,27.61,31.85,32.61,30.52,47.98,,
Calc annual,40.30,29.47,22.66,32.32,31.02,27.61,31.85,32.61,30.52,47.98,,
Difference,0.00,0.00,0.00,0.00,3.49,0.00,0.00,0.00,0.00,0.00,,
