"THE AIRD (TEANACOIL)",,,,,,,,,,,,
Grid ref,NH492413,Long,-4.513817,Lat,57.436912,,,,,,,
Station no,5713/9/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.96,2.49,2.92,3.98,,
February,,,,,,,2.54,1.96,1.25,2.32,,
March,,,,,,,2.66,1.39,1.40,0.37,,
April,,,,,,,1.09,1.84,4.13,3.56,,
May,,,,,,,1.83,3.52,1.48,0.58,,
June,,,,,,,1.65,2.20,1.45,2.21,,
July,,,,,,,7.10,3.26,3.08,2.09,,
August,,,,,,,4.88,3.61,2.17,6.94,,
September,,,,,,,1.64,2.63,0.61,1.97,,
October,,,,,,,2.68,3.73,3.77,2.34,,
November,,,,,,,1.73,0.89,3.32,1.98,,
December,,,,,,5.34,5.51,3.04,3.18,3.30,,
Total,,,,,,,38.27,30.56,28.76,31.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,5.34,38.27,30.56,28.76,31.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
