"LEEDS (CIVIC HALL)",,,,,,,,,,,,
Grid ref,SE298339,Long,-1.549035,Lat,53.800554,,,,,,,
Station no,3280/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.90,2.15,0.34,2.03,1.83,,,,,,,
February,2.65,0.43,1.70,2.26,1.95,,,,,,,
March,2.83,1.63,0.60,1.74,2.47,,,,,,,
April,0.84,1.11,2.12,0.18,0.65,,,,,,,
May,4.53,1.65,1.42,3.10,2.57,,,,,,,
June,0.80,1.51,2.27,1.49,1.45,,,,,,,
July,2.15,0.82,2.20,1.47,0.87,,,,,,,
August,5.48,1.92,2.45,5.95,0.49,,,,,,,
September,1.92,1.80,1.85,2.80,1.08,,,,,,,
October,0.78,3.84,1.71,3.71,1.52,,,,,,,
November,6.21,1.33,2.47,4.70,2.15,,,,,,,
December,2.36,1.81,1.09,2.51,3.47,,,,,,,
Total,32.45,20.00,20.22,31.94,20.50,,,,,,,
Calc annual,32.45,20.00,20.22,31.94,20.50,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
