"BARROWFORD RESERVOIR",,,,,,,,,,,,
Grid ref,SD868403,Long,-2.202174,Lat,53.858753,,,,,,,
Station no,2988,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.99,5.98,2.02,4.19,2.32,6.26,4.66,3.17,3.40,5.67,,
February,4.16,1.90,2.24,2.86,2.64,1.29,3.15,6.89,0.76,2.28,,
March,3.95,2.46,2.22,2.97,2.30,2.51,3.94,2.32,1.58,1.54,,
April,2.68,2.95,3.34,0.91,2.12,3.06,0.60,1.58,3.13,2.77,,
May,2.24,1.75,1.69,2.91,3.93,2.33,1.13,5.30,1.48,1.63,,
June,1.12,3.54,3.23,2.22,2.96,2.23,2.18,4.59,3.15,1.03,,
July,3.74,2.28,5.60,6.26,1.07,4.11,6.03,3.28,3.50,6.22,,
August,4.57,6.91,6.52,7.60,0.88,-999.00,5.57,4.34,0.59,4.49,,
September,3.63,5.01,4.86,6.29,3.17,,5.53,5.14,0.33,2.62,,
October,1.57,4.04,1.78,9.29,2.94,,7.49,3.38,5.72,3.60,,
November,8.99,2.03,6.20,6.34,1.85,,2.09,1.75,4.80,7.26,,
December,10.18,4.32,3.31,7.40,7.08,-999.00,5.99,4.27,7.86,5.31,,
Total,52.82,43.17,43.01,59.24,33.26,-999.00,48.36,46.01,36.30,44.42,,
Calc annual,52.82,43.17,43.01,59.24,33.26,21.79,48.36,46.01,36.30,44.42,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-1020.79,-0.00,-0.00,0.00,0.00,,
