"BUDLEIGH SALTERTON (SQUABMOOR)",,,,,,,,,,,,
Grid ref,SY039839,Long,-3.360593,Lat,50.646833,,,,,,,
Station no,1802,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,1.91,0.67,1.77,5.00,3.50,3.26,3.36,4.70,4.09,,
February,3.31,0.42,1.21,3.17,2.81,0.24,4.74,4.00,0.38,4.28,,
March,3.87,2.14,0.51,3.15,1.97,0.94,3.25,1.87,4.88,2.88,,
April,1.17,2.69,2.45,0.21,1.36,0.79,0.08,0.49,3.08,3.02,,
May,1.93,2.57,4.24,1.82,3.75,0.80,1.86,3.11,1.41,1.99,,
June,0.93,1.20,1.77,4.44,2.60,1.57,0.97,4.02,1.39,0.82,,
July,1.43,0.84,2.84,3.09,2.85,2.24,3.09,2.31,1.93,4.07,,
August,3.94,3.74,1.76,3.55,0.31,3.56,2.40,5.09,3.71,5.91,,
September,3.36,2.93,2.91,2.60,1.25,6.11,2.42,4.19,0.17,6.45,,
October,0.84,5.66,2.72,2.51,2.15,2.33,2.13,2.57,2.62,12.28,,
November,5.03,3.98,1.93,6.53,4.39,1.12,1.88,2.99,6.76,4.48,,
December,1.72,2.70,0.89,4.65,4.63,4.82,2.44,4.40,6.94,3.24,,
Total,30.11,30.78,23.90,37.49,33.07,28.02,28.52,38.40,37.97,53.51,,
Calc annual,30.11,30.78,23.90,37.49,33.07,28.02,28.52,38.40,37.97,53.51,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
