"SUNDERLAND (CLEADON PUMP STN)",,,,,,,,,,,,
Grid ref,NZ387635,Long,-1.397092,Lat,54.964633,,,,,,,
Station no,3556,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.30,1.71,1.01,2.60,1.95,3.56,1.53,1.45,2.31,4.53,,
February,1.85,0.69,1.92,2.05,2.27,1.78,1.59,3.67,0.58,1.76,,
March,3.44,1.38,0.04,1.06,1.68,0.85,1.08,3.02,0.53,1.56,,
April,1.25,1.50,2.11,0.40,0.89,1.18,0.52,1.79,1.34,0.73,,
May,3.73,1.94,1.66,2.87,1.66,0.59,1.37,2.81,0.43,2.16,,
June,1.68,1.38,1.72,2.35,2.54,2.60,1.74,2.29,2.47,0.37,,
July,1.47,0.73,2.36,1.88,0.91,2.71,2.86,3.10,1.78,3.31,,
August,4.46,1.47,3.92,4.64,1.24,6.16,3.02,2.36,0.70,3.03,,
September,0.93,3.62,1.02,2.06,1.10,2.05,4.02,1.85,0.68,1.90,,
October,1.03,1.83,1.22,4.17,1.63,1.42,1.53,0.89,1.28,5.93,,
November,5.10,3.20,1.25,3.38,1.69,0.76,1.00,0.69,2.93,2.35,,
December,2.16,2.40,0.94,1.71,2.93,2.21,1.48,3.29,2.71,1.45,,
Total,28.40,21.85,19.17,29.17,20.49,25.87,21.74,27.21,17.74,29.08,,
Calc annual,28.40,21.85,19.17,29.17,20.49,25.87,21.74,27.21,17.74,29.08,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
