"COCKBURNSPATH (REDHEUGH)",,,,,,,,,,,,
Grid ref,NT822699,Long,-2.286396,Lat,55.921850,,,,,,,
Station no,5094/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.45,1.01,0.60,2.13,1.87,2.61,2.39,1.71,0.98,4.37,,
February,2.57,0.42,0.81,2.65,1.51,2.49,3.61,2.24,0.23,2.00,,
March,3.44,1.26,0.13,1.63,1.45,0.96,1.83,4.01,0.76,1.37,,
April,2.41,1.97,1.97,0.92,0.31,0.72,0.39,1.98,2.17,1.19,,
May,3.27,2.34,2.16,3.64,1.52,0.39,0.83,2.29,0.43,1.87,,
June,0.92,2.57,1.51,2.88,0.96,2.45,0.98,3.87,1.38,0.77,,
July,3.50,0.90,2.22,1.32,1.52,3.51,3.62,4.75,1.34,3.42,,
August,2.96,3.45,1.80,5.57,0.45,8.31,4.49,4.24,0.50,3.08,,
September,0.99,2.03,2.73,2.11,1.02,4.35,2.04,1.92,0.51,2.33,,
October,0.23,3.39,1.59,4.09,1.99,1.08,1.44,1.27,1.81,6.05,,
November,7.35,2.91,2.08,3.50,1.73,0.60,1.00,0.66,3.87,2.70,,
December,1.38,2.59,1.90,1.68,3.96,2.66,3.23,5.80,5.70,2.48,,
Total,32.47,24.84,19.50,32.12,18.29,30.13,25.85,34.74,19.68,31.63,,
Calc annual,32.47,24.84,19.50,32.12,18.29,30.13,25.85,34.74,19.68,31.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
