"KIRKBY MALZEARD (HAMBLETON HILL)",,,,,,,,,,,,
Grid ref,SE160730,Long,-1.756516,Lat,54.152574,,,,,,,
Station no,3380,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,2.77,1.32,2.74,2.94,4.81,3.73,3.65,4.83,5.37,,
February,3.66,0.88,3.10,2.76,2.04,2.68,3.31,5.29,0.24,4.72,,
March,4.32,2.89,0.82,2.47,2.66,1.56,3.04,2.43,2.42,3.37,,
April,2.56,1.75,2.50,0.71,0.83,2.18,0.55,1.10,4.55,2.28,,
May,6.78,1.79,2.92,5.12,3.31,0.79,1.67,6.52,1.13,2.11,,
June,1.19,1.40,3.16,2.52,2.91,3.29,1.47,4.04,1.39,1.22,,
July,1.56,1.61,3.83,2.71,1.13,5.35,3.23,3.00,1.75,6.17,,
August,5.26,5.01,3.55,7.36,1.36,8.12,6.86,4.67,0.82,3.73,,
September,2.59,5.21,3.34,4.02,1.73,3.53,5.39,3.35,0.27,3.92,,
October,1.83,5.58,3.16,7.52,2.48,1.90,4.18,3.92,4.01,8.55,,
November,9.23,2.90,3.48,8.98,3.04,0.79,2.27,0.90,6.13,6.31,,
December,5.65,2.41,2.04,4.48,4.41,3.82,3.27,5.83,7.21,4.72,,
Total,47.76,34.20,33.22,51.39,28.84,38.82,38.97,44.70,34.75,52.47,,
Calc annual,47.76,34.20,33.22,51.39,28.84,38.82,38.97,44.70,34.75,52.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
