"STRATFORD-ON-AVON (THURLASTON)",,,,,,,,,,,,
Grid ref,SP207542,Long,-1.698645,Lat,52.185662,,,,,,,
Station no,2443/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,1.57,0.92,1.08,2.43,3.65,1.40,2.48,3.67,4.15,,
February,2.78,0.55,1.16,2.51,1.40,0.52,2.07,3.51,0.15,1.99,,
March,3.94,2.18,0.99,2.08,2.05,0.74,1.79,1.08,2.55,1.04,,
April,2.70,1.87,1.86,0.93,0.94,1.04,0.23,0.65,2.63,0.80,,
May,2.67,2.66,1.40,2.60,4.92,0.75,1.39,2.17,1.08,1.43,,
June,1.16,1.71,1.89,3.12,2.82,2.12,1.10,4.20,0.94,1.97,,
July,0.85,0.32,3.90,2.99,0.12,1.43,4.11,3.33,1.62,4.14,,
August,4.65,3.69,3.21,3.60,0.26,5.23,3.47,2.43,0.94,4.59,,
September,1.81,1.11,2.74,1.91,1.15,2.56,3.64,3.44,0.10,3.95,,
October,1.02,2.63,2.13,2.86,1.18,1.87,1.17,3.00,2.59,3.45,,
November,5.33,2.66,1.06,4.88,1.34,0.72,1.54,2.59,2.60,3.09,,
December,1.99,2.52,0.89,1.65,2.16,2.84,1.86,2.49,3.64,3.07,,
Total,31.44,23.47,22.15,30.21,20.77,23.47,23.77,31.37,22.51,33.67,,
Calc annual,31.44,23.47,22.15,30.21,20.77,23.47,23.77,31.37,22.51,33.67,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
