"HIGH ASH",,,,,,,,,,,,
Grid ref,SJ982709,Long,-2.028426,Lat,53.235130,,,,,,,
Station no,2771/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.59,2.32,,,,,
February,,,,,,1.28,2.40,,,,,
March,,,,,,1.93,3.25,,,,,
April,,,,,,2.11,0.32,,,,,
May,,,,,,1.28,1.55,,,,,
June,,,,,,3.81,1.63,,,,,
July,,,,,,5.39,5.73,,,,,
August,,,,,,9.97,5.70,,,,,
September,,,,,,4.13,8.63,,,,,
October,,,,,,2.93,4.12,,,,,
November,,,,,,2.00,2.10,,,,,
December,,,,,,4.34,3.59,,,,,
Total,,,,,,45.76,41.74,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,45.76,41.34,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.40,NaN,NaN,NaN,,
