"PENTLAND HILLS (MARTYR'S CROSS)",,,,,,,,,,,,
Grid ref,NT229623,Long,-3.232947,Lat,55.847720,,,,,,,
Station no,5119,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.84,3.32,0.73,3.53,2.27,1.86,3.65,1.28,1.52,3.49,,
February,2.67,0.67,1.21,1.88,2.06,2.13,2.66,2.38,0.90,3.03,,
March,3.40,1.86,0.74,2.22,1.92,1.43,1.84,2.18,0.91,1.67,,
April,3.30,1.63,2.76,1.38,0.91,0.84,0.97,2.32,2.40,1.32,,
May,3.16,1.57,1.96,4.55,2.50,1.37,1.53,2.62,0.76,1.26,,
June,2.07,2.72,1.92,2.70,0.99,2.59,1.62,3.65,1.94,1.41,,
July,3.55,2.20,4.20,2.18,1.78,4.58,5.76,7.45,3.40,2.96,,
August,5.48,3.67,1.90,5.80,1.34,7.36,4.60,3.22,0.59,4.19,,
September,1.51,2.60,2.76,3.73,2.10,3.95,1.75,3.42,0.66,2.07,,
October,0.84,1.76,1.72,6.47,1.73,1.93,2.28,1.70,3.04,3.45,,
November,4.95,2.65,4.26,3.46,0.85,1.03,1.49,1.46,6.38,4.01,,
December,3.31,3.57,3.58,3.90,5.13,2.94,2.78,5.52,3.77,4.32,,
Total,38.08,28.22,27.74,41.80,23.58,32.01,30.93,37.20,26.27,33.18,,
Calc annual,38.08,28.22,27.74,41.80,23.58,32.01,30.93,37.20,26.27,33.18,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
