"ROTHLEY (HARWOOD)",,,,,,,,,,,,
Grid ref,NZ001902,Long,-1.999971,Lat,55.206053,,,,,,,
Station no,3587/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.93,3.20,2.29,3.56,2.64,4.56,4.28,2.54,2.25,5.46,,
February,2.71,0.67,2.11,2.56,3.34,3.43,4.02,4.23,0.53,4.00,,
March,3.63,2.14,0.44,1.74,1.19,1.38,2.72,4.61,1.37,2.69,,
April,2.36,1.42,3.29,0.80,0.90,0.99,0.81,2.34,2.55,1.39,,
May,3.70,1.51,2.55,5.44,2.93,0.58,1.72,3.97,0.61,3.07,,
June,1.30,1.87,3.08,1.82,1.82,3.89,2.01,3.83,3.37,1.67,,
July,1.80,1.75,3.65,4.08,2.20,3.57,3.84,4.68,3.04,4.62,,
August,4.53,5.36,3.31,5.93,1.14,8.55,5.41,2.98,0.37,3.50,,
September,1.04,3.46,4.55,4.80,1.90,3.31,3.15,2.93,0.99,2.63,,
October,1.08,4.48,1.27,6.25,1.47,2.32,2.67,2.37,2.42,7.75,,
November,8.19,3.47,2.48,3.99,1.57,0.86,2.30,1.02,6.46,4.09,,
December,2.62,4.02,1.50,3.01,5.26,3.06,2.31,5.06,5.01,2.79,,
Total,34.89,33.35,30.52,43.98,26.36,36.50,35.24,40.56,28.97,43.66,,
Calc annual,34.89,33.35,30.52,43.98,26.36,36.50,35.24,40.56,28.97,43.66,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
