"CARRBRIDGE (DALRACHNEY BRIDGE)",,,,,,,,,,,,
Grid ref,NH896229,Long,-3.833005,Lat,57.283339,,,,,,,
Station no,5700/55,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.27,2.56,,
February,,,,,,,,,0.67,3.00,,
March,,,,,,,,,0.99,0.43,,
April,,,,,,,,,1.76,1.97,,
May,,,,,,,,,1.49,0.56,,
June,,,,,,,,,2.95,2.41,,
July,,,,,,,,,2.12,2.05,,
August,,,,,,,,,0.72,6.81,,
September,,,,,,,,,0.54,2.71,,
October,,,,,,,,2.27,3.77,3.44,,
November,,,,,,,,0.96,3.51,1.55,,
December,,,,,,,,2.43,2.23,1.92,,
Total,,,,,,,,,24.02,29.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66,24.02,29.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
