"WEST CALDER (ADDIEWELL)",,,,,,,,,,,,
Grid ref,NT001626,Long,-3.597059,Lat,55.846227,,,,,,,
Station no,5128,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,3.98,1.15,4.02,2.25,2.07,5.20,3.00,1.17,3.19,,
February,3.06,0.82,1.28,2.38,1.59,1.62,3.05,2.09,1.19,3.59,,
March,3.70,1.57,0.83,2.20,1.79,2.23,3.13,1.52,1.60,1.81,,
April,3.21,1.85,2.74,1.63,1.25,0.61,1.84,1.96,2.31,,,
May,2.22,1.78,2.25,4.54,2.99,1.77,1.87,3.65,1.37,,,
June,1.75,2.56,1.70,2.26,1.59,3.16,2.22,2.84,2.71,,,
July,3.66,2.21,4.90,2.65,1.72,4.82,3.73,6.20,3.93,,,
August,4.85,3.59,2.25,5.49,1.43,5.73,5.13,5.12,1.14,,,
September,2.32,2.48,3.02,5.24,2.55,3.49,2.20,4.17,0.71,,,
October,0.98,2.72,1.90,8.11,1.99,2.98,3.84,2.00,3.58,,,
November,5.13,2.90,5.88,5.42,1.12,1.36,2.05,1.74,6.22,,,
December,4.78,3.18,4.14,5.40,5.73,5.05,4.59,5.35,4.20,,,
Total,39.77,29.64,32.04,49.34,26.00,34.89,38.85,39.64,30.13,,,
Calc annual,39.77,29.64,32.04,49.34,26.00,34.89,38.85,39.64,30.13,8.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
