"LEEK (POOLEND PUMPING STATION)",,,,,,,,,,,,
Grid ref,SJ965582,Long,-2.053751,Lat,53.120962,,,,,,,
Station no,2372/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.75,2.13,3.36,2.80,5.62,,
February,,,,,,0.95,2.36,5.60,0.67,2.10,,
March,,,,,,2.00,3.65,1.53,2.40,1.34,,
April,,,,,,1.39,0.40,1.31,3.15,1.59,,
May,,,,,,1.19,1.30,3.28,0.65,1.86,,
June,,,,,,2.88,2.17,4.73,1.43,2.20,,
July,,,,,0.75,4.36,4.25,4.85,1.98,4.94,,
August,,,,,1.32,7.91,4.59,4.47,0.80,4.71,,
September,,,,,3.00,2.69,6.98,5.46,0.17,4.58,,
October,,,,,2.75,2.80,3.04,3.50,2.68,4.95,,
November,,,,,2.06,1.80,1.76,1.95,4.10,5.38,,
December,,,,,3.47,4.00,3.50,3.57,5.25,4.43,,
Total,,,,,,36.72,36.13,43.61,26.08,43.70,,
Calc annual,0.00,0.00,0.00,0.00,13.35,36.72,36.13,43.61,26.08,43.70,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
