"FORT WILLIAM (THE FACTORY)",,,,,,,,,,,,
Grid ref,NN130751,Long,-5.066424,Lat,56.829642,,,,,,,
Station no,5729,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.25,6.95,4.79,7.47,4.93,5.78,12.95,6.77,2.90,3.51,,
February,4.70,3.79,6.15,4.19,3.73,4.14,4.57,3.35,4.27,5.62,,
March,3.33,4.57,2.76,3.54,0.86,3.73,7.47,2.00,5.28,1.14,,
April,6.42,4.21,4.64,2.39,3.70,3.88,2.35,4.27,5.06,6.37,,
May,0.56,2.44,5.72,3.86,2.96,7.25,2.08,6.02,1.22,3.00,,
June,3.51,4.48,0.85,3.31,3.04,3.25,2.75,2.13,5.16,3.37,,
July,4.43,3.46,6.26,2.68,1.16,6.02,5.85,3.20,6.94,3.74,,
August,6.99,4.78,6.98,3.89,1.54,4.63,6.25,5.40,5.52,6.32,,
September,7.69,5.71,8.74,6.63,7.80,7.76,4.50,4.94,2.60,3.34,,
October,3.57,8.02,4.66,10.95,7.72,8.05,10.14,9.54,8.74,1.73,,
November,9.41,4.45,13.23,10.17,2.66,6.47,2.50,2.08,9.38,6.64,,
December,13.18,7.32,8.17,12.22,11.22,12.91,11.36,5.18,9.83,7.63,,
Total,72.04,60.18,72.95,71.30,51.32,73.87,72.77,54.88,66.90,52.41,,
Calc annual,72.04,60.18,72.95,71.30,51.32,73.87,72.77,54.88,66.90,52.41,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
