"BATLEY (STAINCLIFFE RESERVOIR)",,,,,,,,,,,,
Grid ref,SE229236,Long,-1.654554,Lat,53.708327,,,,,,,
Station no,3244,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,2.28,0.69,2.53,1.74,3.42,1.40,4.19,2.62,5.16,,
February,2.73,0.74,1.66,2.11,1.43,1.26,2.47,4.89,0.13,1.64,,
March,3.37,1.78,0.96,1.87,3.21,0.71,1.47,2.05,1.06,1.82,,
April,1.12,1.24,2.23,0.24,0.71,2.22,0.16,0.42,3.44,0.93,,
May,4.41,2.18,1.50,3.34,2.28,0.68,1.24,2.87,0.92,1.28,,
June,0.88,1.57,2.66,1.54,1.55,2.06,1.45,5.03,1.70,0.64,,
July,2.99,1.24,3.01,1.71,0.68,4.28,3.10,4.49,2.86,2.98,,
August,4.43,2.06,3.55,5.39,0.42,6.55,4.71,3.78,0.38,5.21,,
September,1.86,1.81,1.44,2.63,1.06,3.38,3.94,2.43,0.29,3.19,,
October,1.04,3.96,1.82,4.11,1.72,1.31,1.71,1.88,2.15,6.67,,
November,6.57,1.47,2.25,4.44,1.81,0.66,2.11,0.85,3.63,5.42,,
December,2.76,1.96,1.32,2.86,3.23,3.07,1.42,3.63,3.78,2.74,,
Total,34.72,22.29,23.09,32.77,19.84,29.60,25.18,36.51,22.96,37.68,,
Calc annual,34.72,22.29,23.09,32.77,19.84,29.60,25.18,36.51,22.96,37.68,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
