"SAXMUNDHAM (AGRIC. DEM. PLOT)",,,,,,,,,,,,
Grid ref,TM360633,Long,1.453453,Lat,52.217324,,,,,,,
Station no,1367/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.01,2.75,0.72,,,,,,,,,
February,3.76,0.78,1.49,,,,,,,,,
March,3.61,1.92,0.18,,,,,,,,,
April,4.19,0.96,1.57,,,,,,,,,
May,1.37,0.83,1.68,,,,,,,,,
June,1.82,1.61,1.89,,,,,,,,,
July,0.84,-999.00,2.24,,,,,,,,,
August,1.75,4.46,2.04,,,,,,,,,
September,2.17,3.14,1.26,,,,,,,,,
October,0.72,2.35,2.45,,,,,,,,,
November,2.85,4.71,1.25,,,,,,,,,
December,1.61,2.58,1.00,,,,,,,,,
Total,26.70,27.14,17.77,,,,,,,,,
Calc annual,26.70,26.09,17.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,1.05,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
