"TYNAN ABBEY",,,,,,,,,,,,
Grid ref,IH759422,Long,-6.834124,Lat,54.323018,,,,,,,
Station no,6192/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,4.64,1.07,1.85,3.51,2.14,4.48,3.35,2.01,3.46,,
February,3.18,0.61,1.29,3.90,3.49,1.07,1.81,3.88,0.93,2.54,,
March,2.79,1.72,0.35,3.20,1.02,2.45,2.38,1.46,2.52,1.82,,
April,1.66,1.35,1.99,0.56,2.34,1.10,1.26,1.07,3.27,2.30,,
May,1.48,1.24,1.33,3.59,2.54,1.20,2.15,2.92,1.17,2.74,,
June,2.82,2.46,1.43,3.50,4.66,2.83,1.46,5.17,2.22,2.89,,
July,3.66,1.41,3.46,4.07,1.79,4.46,4.61,5.05,2.41,4.06,,
August,4.49,3.03,3.50,2.12,0.79,7.05,5.99,3.99,0.89,3.96,,
September,2.41,1.08,2.82,4.59,3.05,2.66,3.72,2.85,1.78,3.23,,
October,1.02,4.16,2.03,5.23,1.51,2.32,4.09,2.69,3.89,3.41,,
November,4.76,2.11,3.40,3.78,1.84,1.65,0.85,1.93,3.62,3.75,,
December,4.56,2.94,3.50,3.73,3.77,4.56,4.39,4.65,4.42,3.08,,
Total,35.34,26.75,26.17,40.12,30.31,33.49,37.19,39.01,29.13,37.24,,
Calc annual,35.34,26.75,26.17,40.12,30.31,33.49,37.19,39.01,29.13,37.24,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
