"ECCLESHALL (SUGNALL HALL)",,,,,,,,,,,,
Grid ref,SJ798312,Long,-2.301586,Lat,52.877883,,,,,,,
Station no,2353/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,2.91,1.06,,,,,,,,,
February,2.51,0.59,2.09,,,,,,,,,
March,4.11,1.76,1.22,,,,,,,,,
April,2.03,2.44,3.26,,,,,,,,,
May,3.57,2.03,2.89,,,,,,,,,
June,2.02,2.27,2.63,,,,,,,,,
July,1.96,1.07,3.33,,,,,,,,,
August,4.87,2.44,3.06,,,,,,,,,
September,2.15,2.06,2.42,,,,,,,,,
October,1.00,3.96,2.00,,,,,,,,,
November,6.01,1.95,1.80,,,,,,,,,
December,3.17,3.25,1.42,,,,,,,,,
Total,35.68,26.73,27.18,,,,,,,,,
Calc annual,35.68,26.73,27.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
