"HATFIELD (CLARKE'S ROAD)",,,,,,,,,,,,
Grid ref,TL228090,Long,-0.221873,Lat,51.766221,,,,,,,
Station no,945/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.32,1.85,1.07,0.89,2.29,,,2.45,,2.41,,
February,4.59,0.65,1.88,1.54,1.92,,,2.71,,2.06,,
March,3.61,2.79,0.43,2.29,1.44,,,1.17,,1.62,,
April,2.90,1.58,2.64,0.28,0.51,,,1.20,,0.58,,
May,2.22,1.36,1.43,1.77,4.59,,,2.31,,1.53,,
June,1.72,1.31,1.75,3.54,2.03,,,4.39,,1.73,,
July,0.79,0.59,3.21,2.53,0.21,,,1.74,,2.81,,
August,3.34,5.00,1.79,3.80,1.05,,,2.72,,2.83,,
September,2.52,3.66,1.74,1.58,1.38,,,2.99,,3.45,,
October,0.82,2.98,2.77,2.18,3.84,,,2.35,,5.71,,
November,5.01,3.94,1.63,4.11,1.70,,,2.26,,4.08,,
December,1.75,2.78,0.55,1.51,2.17,,,3.13,,3.10,,
Total,32.59,28.49,20.89,26.02,23.13,,,29.42,,31.91,,
Calc annual,32.59,28.49,20.89,26.02,23.13,0.00,0.00,29.42,0.00,31.91,,
Difference,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,0.00,NaN,-0.00,,
