"CORYTON MANOR",,,,,,,,,,,,
Grid ref,SX475848,Long,-4.158190,Lat,50.642880,,,,,,,
Station no,1661,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.02,6.31,1.07,2.53,6.17,6.40,5.16,6.13,6.74,5.47,,
February,6.74,1.46,2.43,5.83,4.06,0.54,8.78,5.84,0.38,5.12,,
March,6.36,4.54,1.14,5.47,2.16,1.79,5.47,1.56,6.97,2.51,,
April,3.19,3.82,3.80,0.75,1.62,1.65,0.32,0.85,5.14,4.21,,
May,5.36,4.28,5.17,5.22,4.29,1.20,3.03,4.56,1.09,2.45,,
June,2.84,2.22,3.34,5.09,3.01,3.21,3.24,4.43,1.67,3.06,,
July,3.22,2.04,4.30,5.02,1.81,5.69,4.61,3.69,2.44,6.10,,
August,6.70,7.27,2.88,3.74,0.21,4.64,4.71,6.98,1.64,4.42,,
September,4.79,4.56,5.84,5.34,2.85,7.55,5.88,7.64,0.56,6.86,,
October,2.24,6.02,5.59,5.49,3.37,3.00,4.29,5.36,6.10,8.09,,
November,9.46,3.95,4.78,11.22,6.25,2.71,2.63,3.10,11.00,6.98,,
December,5.62,4.67,1.35,5.18,6.92,7.01,4.61,5.34,11.02,6.68,,
Total,62.54,51.14,41.69,60.88,42.22,45.39,52.73,55.48,54.75,61.95,,
Calc annual,62.54,51.14,41.69,60.88,42.72,45.39,52.73,55.48,54.75,61.95,,
Difference,-0.00,0.00,-0.00,0.00,-0.50,0.00,-0.00,-0.00,0.00,0.00,,
