"GLEN TARKEN",,,,,,,,,,,,
Grid ref,NN655283,Long,-4.182444,Lat,56.427676,,,,,,,
Station no,5544/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,-999.00,7.75,3.20,3.50,5.00,3.50,5.95,5.03,3.29,5.73,,
February,,1.75,2.50,6.00,3.00,3.50,5.75,2.06,2.56,8.58,,
March,,6.00,2.75,6.00,2.50,1.50,5.00,1.50,4.90,2.99,,
April,-999.00,3.50,3.50,1.00,1.50,2.00,2.00,2.03,4.74,7.58,,
May,1.65,3.20,4.00,3.00,5.00,2.00,1.75,4.00,1.70,3.84,,
June,2.50,3.80,3.75,3.50,1.50,6.00,1.75,3.50,2.66,2.64,,
July,2.25,2.50,6.00,2.50,0.50,5.50,4.75,5.50,4.78,3.42,,
August,6.65,5.50,3.50,4.50,2.50,5.00,-999.00,5.50,2.46,4.80,,
September,2.50,2.25,4.50,3.50,4.50,5.50,4.75,5.80,1.26,4.87,,
October,0.50,7.50,7.00,10.00,2.50,2.75,4.50,5.40,7.03,7.09,,
November,12.10,2.50,6.50,8.50,2.00,5.50,3.50,1.90,8.90,8.22,,
December,4.50,4.50,9.75,7.00,10.00,5.80,8.05,7.65,12.56,8.28,,
Total,,50.75,56.95,59.00,40.50,48.55,52.75,49.87,56.84,68.04,,
Calc annual,32.65,50.75,56.95,59.00,40.50,48.55,47.75,49.87,56.84,68.04,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,,
