"GLEN AFTON (AYRSHIRE HOSPITAL)",,,,,,,,,,,,
Grid ref,NS616101,Long,-4.185120,Lat,55.365335,,,,,,,
Station no,5274,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.02,8.08,2.55,6.30,4.42,3.66,7.03,7.54,2.46,4.55,,
February,4.50,2.19,1.92,4.43,2.11,1.43,5.59,5.65,1.92,6.00,,
March,4.46,3.23,1.10,3.96,1.81,3.68,4.76,1.22,4.07,2.00,,
April,4.26,3.00,3.78,2.36,2.66,1.64,2.36,1.98,4.72,5.89,,
May,3.12,2.83,3.88,6.09,4.07,2.83,3.20,3.54,1.56,2.08,,
June,1.51,3.24,1.11,3.89,3.09,4.18,1.78,3.76,3.11,3.50,,
July,2.88,4.84,5.51,4.79,2.30,5.86,5.28,4.41,5.48,3.66,,
August,8.42,3.89,3.37,5.45,1.55,8.26,7.02,6.33,1.37,3.91,,
September,6.16,2.93,7.29,9.46,5.48,5.08,3.49,5.81,1.73,4.23,,
October,1.00,6.25,5.10,10.05,4.38,4.42,5.88,4.80,8.57,3.78,,
November,12.08,3.66,7.54,11.35,3.93,3.34,3.06,1.95,7.50,11.62,,
December,10.60,5.27,5.46,9.35,9.41,7.27,7.37,7.04,9.40,6.70,,
Total,65.01,49.41,48.61,77.48,45.21,51.65,56.82,54.03,51.89,57.92,,
Calc annual,65.01,49.41,48.61,77.48,45.21,51.65,56.82,54.03,51.89,57.92,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
