"PETERBOROUGH (SEWAGE PS)",,,,,,,,,,,,
Grid ref,TL201984,Long,-0.229370,Lat,52.570174,,,,,,,
Station no,1138/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.31,1.00,0.81,2.07,3.70,0.87,2.23,2.57,3.20,,
February,2.56,0.41,1.70,1.94,2.34,0.58,2.21,3.04,0.12,2.00,,
March,2.88,2.55,0.66,2.21,2.02,0.44,1.37,1.34,1.67,1.60,,
April,2.63,1.20,1.58,0.21,0.59,0.88,0.24,0.80,2.16,0.17,,
May,2.85,1.60,1.58,3.04,2.48,0.77,1.38,2.42,0.69,1.02,,
June,0.91,1.24,3.27,2.04,2.26,2.04,1.99,5.07,0.27,2.39,,
July,0.77,0.34,1.76,2.07,0.20,2.55,3.69,2.84,2.58,3.19,,
August,4.50,2.73,2.04,4.25,1.04,3.96,2.02,1.99,1.30,2.02,,
September,-999.00,2.22,0.58,1.74,1.65,1.27,3.81,2.62,0.01,2.82,,
October,0.90,2.20,1.88,1.78,1.59,0.90,0.85,1.71,1.05,3.74,,
November,3.01,2.61,1.36,4.33,0.85,0.65,1.60,1.34,1.38,3.06,,
December,1.30,1.62,0.46,2.01,1.29,1.67,1.81,2.11,3.50,2.97,,
Total,26.05,20.03,17.87,26.43,18.38,19.41,21.84,27.51,17.30,28.18,,
Calc annual,24.52,20.03,17.87,26.43,18.38,19.41,21.84,27.51,17.30,28.18,,
Difference,1.53,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
