"STAINES (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ042719,Long,-0.502312,Lat,51.436525,,,,,,,
Station no,835/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,1.81,0.71,1.00,2.12,3.68,1.82,2.38,2.18,2.03,,
February,5.53,0.78,1.30,2.06,1.27,0.22,2.91,2.33,0.11,1.91,,
March,3.31,2.67,0.38,2.18,0.91,0.57,0.97,1.31,1.81,1.20,,
April,2.30,1.33,2.42,0.37,0.27,1.19,0.20,1.12,2.15,0.50,,
May,2.17,2.41,1.38,3.46,3.85,0.22,1.05,2.46,0.62,1.88,,
June,0.93,1.53,1.42,3.63,2.26,1.56,1.07,3.96,0.36,1.91,,
July,1.23,0.44,3.53,2.38,0.35,7.00,3.79,2.56,2.97,3.76,,
August,3.48,3.30,1.60,3.14,0.81,4.23,5.22,2.71,1.90,2.62,,
September,2.62,3.24,1.73,2.26,1.67,2.02,2.54,3.41,0.14,2.64,,
October,0.85,2.90,2.83,2.34,3.48,3.34,1.92,2.26,2.33,6.32,,
November,5.65,2.85,1.10,4.08,1.29,0.37,2.26,2.03,2.37,3.55,,
December,1.61,2.55,0.69,2.07,2.03,2.93,1.66,3.54,3.41,2.45,,
Total,32.74,25.81,19.09,28.97,20.31,27.33,25.41,30.07,20.35,30.77,,
Calc annual,32.74,25.81,19.09,28.97,20.31,27.33,25.41,30.07,20.35,30.77,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
