"LOCH ROMACH RESERVOIR",,,,,,,,,,,,
Grid ref,NJ073518,Long,-3.550455,Lat,57.546780,,,,,,,
Station no,5676/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999.00,-999.00,,-999.00,3.99,-999.00,3.75,,
February,,,,-999.00,-999.00,,-999.00,3.31,-999.00,3.00,,
March,,1.45,,-999.00,-999.00,,-999.00,1.92,-999.00,1.00,,
April,,1.14,,-999.00,-999.00,,-999.00,1.52,-999.00,1.94,,
May,,0.77,,-999.00,-999.00,,-999.00,3.96,-999.00,0.50,,
June,,2.38,,-999.00,-999.00,,-999.00,1.67,-999.00,4.80,,
July,,1.36,,-999.00,-999.00,,-999.00,3.98,-999.00,2.89,,
August,,4.29,,-999.00,-999.00,,-999.00,2.90,-999.00,10.40,,
September,,2.14,,-999.00,-999.00,,-999.00,1.33,-999.00,2.80,,
October,,2.45,,-999.00,-999.00,,-999.00,2.19,-999.00,4.00,,
November,,2.92,,-999.00,-999.00,,-999.00,0.85,-999.00,2.10,,
December,,1.72,,-999.00,-999.00,,-999.00,,-999.00,1.60,,
Total,,,,-999.00,-999.00,,-999.00,,-999.00,38.78,,
Calc annual,0.00,20.62,0.00,0.00,0.00,0.00,0.00,27.62,0.00,38.78,,
Difference,NaN,NaN,NaN,-999.00,-999.00,NaN,-999.00,NaN,-999.00,0.00,,
