"COATBRIDGE",,,,,,,,,,,,
Grid ref,NS712643,Long,-4.059127,Lat,55.854637,,,,,,,
Station no,5182/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.03,3.31,1.23,4.03,1.59,1.90,4.80,3.14,1.10,2.56,,
February,2.20,1.11,1.07,2.65,1.67,1.54,2.47,2.27,1.43,2.52,,
March,2.65,1.81,0.90,1.97,1.43,2.28,3.18,0.85,1.28,1.81,,
April,2.05,1.85,1.92,1.29,0.96,0.77,1.45,1.43,2.47,2.12,,
May,1.53,1.58,1.61,3.06,3.12,1.85,2.45,2.71,1.09,2.47,,
June,3.20,2.05,1.07,2.47,1.57,2.78,2.35,2.86,2.56,2.12,,
July,4.14,2.33,3.74,3.03,1.10,5.27,3.08,5.00,4.70,3.48,,
August,4.72,3.09,2.51,5.18,1.42,4.98,4.15,4.62,0.81,2.49,,
September,2.68,1.86,2.41,4.35,2.59,3.93,2.42,4.34,1.00,2.06,,
October,0.92,3.18,1.20,9.07,2.62,2.56,3.05,3.21,3.97,2.65,,
November,5.35,2.05,5.54,5.41,1.57,1.09,1.69,1.67,4.35,4.37,,
December,4.51,2.92,3.69,4.54,5.25,4.44,3.32,4.08,4.43,4.21,,
Total,37.98,27.14,26.89,47.05,24.89,33.39,34.41,36.18,29.19,32.86,,
Calc annual,37.98,27.14,26.89,47.05,24.89,33.39,34.41,36.18,29.19,32.86,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
