"WEALDSTONE",,,,,,,,,,,,
Grid ref,TQ157892,Long,-0.331266,Lat,51.589782,,,,,,,
Station no,861/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.22,,
February,,,,,,,,,,2.22,,
March,,,,,,,,,,1.70,,
April,,,,,,,,,,0.68,,
May,,,,,,,,,,2.26,,
June,,,,,,,,,,1.68,,
July,,,,,,,,,,3.46,,
August,,,,,,,,,,3.10,,
September,,,,,,,,,,4.61,,
October,,,,,,,,,,5.85,,
November,,,,,,,,,,4.03,,
December,,,,,,,,,,3.15,,
Total,,,,,,,,,,34.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
