"FILEY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TA114807,Long,-0.293386,Lat,54.209940,,,,,,,
Station no,3407/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.71,1.99,1.17,1.53,1.31,3.98,1.17,2.69,2.68,5.42,,
February,2.07,0.92,1.44,1.88,2.38,2.98,2.17,3.98,0.36,1.97,,
March,2.68,1.67,0.20,1.97,2.38,0.86,1.11,2.23,1.52,1.15,,
April,1.49,0.89,2.14,0.29,1.01,1.09,0.51,1.10,2.32,0.75,,
May,3.65,1.06,1.29,1.95,2.58,0.82,0.94,2.45,0.51,0.82,,
June,1.37,1.23,2.30,1.06,1.19,3.68,1.82,3.19,2.83,0.36,,
July,1.79,2.44,1.25,1.61,1.20,4.11,4.02,2.26,2.59,3.08,,
August,5.66,1.39,2.76,5.01,1.23,4.95,2.61,1.46,0.82,3.34,,
September,1.14,4.59,0.89,1.79,1.26,1.36,3.02,1.92,0.38,2.07,,
October,0.97,2.33,1.73,3.65,2.79,1.50,2.52,1.56,1.64,6.40,,
November,3.96,4.51,1.91,5.31,1.22,1.61,2.51,0.64,4.23,4.45,,
December,1.53,2.23,1.04,1.85,3.37,2.22,1.98,3.19,4.52,3.76,,
Total,28.02,25.25,18.12,27.90,21.92,29.16,24.38,26.67,24.40,33.57,,
Calc annual,28.02,25.25,18.12,27.90,21.92,29.16,24.38,26.67,24.40,33.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
