"EDINBURGH WW (HAWKSHAW)",,,,,,,,,,,,
Grid ref,NT085204,Long,-3.448882,Lat,55.468843,,,,,,,
Station no,5070/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.60,5.84,2.20,3.12,4.50,2.90,8.00,6.70,2.70,4.50,,
February,3.80,1.46,1.80,3.76,2.40,1.60,4.90,3.60,1.90,7.20,,
March,3.30,3.20,0.80,3.12,2.40,2.50,4.10,1.60,4.20,1.90,,
April,4.10,3.50,3.50,1.10,1.90,0.80,2.70,1.80,5.20,5.60,,
May,2.50,2.00,3.80,5.90,3.50,2.60,2.10,3.50,2.30,3.00,,
June,1.90,3.10,1.80,4.10,2.50,3.50,1.90,3.40,3.10,2.60,,
July,3.60,2.50,7.30,4.50,1.40,4.90,3.80,4.70,5.80,2.50,,
August,8.20,3.80,3.10,6.40,2.40,8.40,5.30,4.90,1.30,4.20,,
September,5.30,2.40,5.40,7.90,3.80,5.20,3.20,5.80,1.40,3.70,,
October,0.90,6.70,5.00,10.70,3.80,4.10,5.80,3.70,6.60,4.10,,
November,12.30,3.90,7.10,11.00,3.20,2.20,1.70,1.20,9.90,9.00,,
December,9.00,4.90,5.00,6.40,6.30,6.90,5.80,5.90,9.00,6.90,,
Total,60.50,43.30,46.80,68.00,38.10,45.60,49.30,46.80,53.40,55.20,,
Calc annual,60.50,43.30,46.80,68.00,38.10,45.60,49.30,46.80,53.40,55.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
