"NASEBY RESERVOIR",,,,,,,,,,,,
Grid ref,SP670780,Long,-1.016774,Lat,52.395928,,,,,,,
Station no,1090,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,2.22,1.30,1.26,2.52,3.75,1.37,2.82,3.92,3.67,,
February,3.10,0.69,1.68,2.86,2.13,1.09,2.89,3.47,0.10,1.80,,
March,3.38,2.90,0.98,2.63,2.79,1.06,2.00,2.03,2.66,2.03,,
April,2.99,2.19,1.81,0.45,1.04,1.00,0.44,0.81,2.22,0.63,,
May,3.06,2.54,1.46,2.49,4.57,0.57,1.68,2.09,0.47,1.41,,
June,1.33,1.18,2.86,2.35,2.68,2.70,1.96,5.44,0.80,2.84,,
July,0.93,0.30,4.55,3.15,0.23,3.51,3.13,4.28,1.34,3.18,,
August,5.21,3.64,2.72,4.82,1.07,5.02,2.58,2.33,0.70,4.67,,
September,1.48,2.16,2.54,2.60,1.94,2.45,4.95,2.73,0.14,3.92,,
October,1.07,2.45,2.51,3.56,1.75,1.65,0.95,2.59,2.02,6.78,,
November,4.89,2.69,1.27,5.42,1.19,0.96,1.90,1.74,2.29,3.80,,
December,2.28,2.64,1.04,2.74,2.35,3.57,2.73,2.39,4.39,2.85,,
Total,31.97,25.60,24.72,34.33,24.26,27.33,26.58,32.72,21.05,37.58,,
Calc annual,31.97,25.60,24.72,34.33,24.26,27.33,26.58,32.72,21.05,37.58,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
