"BOGNOR REGIS (WATERLOO SQUARE)",,,,,,,,,,,,
Grid ref,SZ934989,Long,-0.676515,Lat,50.782164,,,,,,,
Station no,419,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,2.71,1.29,1.77,3.91,4.72,2.25,4.46,3.28,2.93,,
February,5.98,0.73,1.33,2.75,2.21,0.27,4.47,2.77,0.05,3.51,,
March,3.79,3.20,0.25,3.01,1.11,0.18,1.53,1.61,1.96,2.23,,
April,1.78,1.48,2.08,0.27,0.18,1.54,0.12,0.60,1.79,0.82,,
May,2.41,2.47,1.58,2.79,3.45,0.30,0.84,3.10,0.32,1.42,,
June,1.97,1.44,1.41,3.05,1.99,1.92,1.32,2.61,0.77,1.16,,
July,2.72,0.64,2.65,3.66,0.08,2.31,3.94,1.04,1.04,3.96,,
August,4.86,1.53,1.68,2.63,1.96,3.14,3.32,3.68,1.58,5.63,,
September,3.24,4.39,3.06,2.48,2.03,3.51,3.72,3.70,0.11,5.34,,
October,1.21,3.51,3.12,2.29,2.56,1.83,1.61,3.13,2.98,6.52,,
November,5.59,3.76,1.75,5.96,1.58,0.79,2.89,2.47,3.97,5.72,,
December,2.76,3.00,0.83,2.59,3.94,4.34,1.70,3.51,6.78,4.03,,
Total,40.41,28.86,21.03,33.25,25.00,24.85,27.71,32.68,24.63,43.27,,
Calc annual,40.41,28.86,21.03,33.25,25.00,24.85,27.71,32.68,24.63,43.27,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
