"GRAINS MOSS",,,,,,,,,,,,
Grid ref,SE068039,Long,-1.898883,Lat,53.531714,,,,,,,
Station no,2761,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.00,7.00,3.92,6.31,4.47,8.03,5.60,5.27,5.43,8.45,,
February,4.65,3.80,3.50,4.73,3.25,2.88,5.28,9.47,0.78,2.35,,
March,7.30,4.40,3.98,3.58,3.12,2.44,6.20,3.44,2.90,2.00,,
April,3.85,5.00,4.84,1.28,4.12,4.29,0.99,2.58,5.84,4.04,,
May,4.20,3.60,3.32,5.01,6.04,2.35,1.89,5.34,2.73,2.86,,
June,1.95,4.40,6.49,5.00,4.95,4.20,2.69,6.35,2.87,2.60,,
July,5.30,4.58,9.20,9.99,1.99,10.20,7.75,5.94,4.47,10.26,,
August,7.75,4.84,7.17,10.15,0.80,13.72,8.54,6.59,0.60,7.15,,
September,4.00,6.33,4.16,8.40,3.55,6.35,9.53,6.54,0.42,5.14,,
October,1.40,6.93,3.00,12.66,3.48,4.18,8.35,6.63,4.52,8.61,,
November,11.80,5.25,6.06,8.50,2.67,3.00,4.83,2.06,6.08,8.85,,
December,9.00,5.80,3.20,10.82,8.44,7.01,6.97,5.92,8.35,7.04,,
Total,69.20,61.93,58.84,86.43,46.88,68.65,68.62,66.13,44.99,69.35,,
Calc annual,69.20,61.93,58.84,86.43,46.88,68.65,68.62,66.13,44.99,69.35,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
