"MAIDSTONE W.W. (BOXLEY)",,,,,,,,,,,,
Grid ref,TQ774594,Long,0.543663,Lat,51.306070,,,,,,,
Station no,366/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,1.96,1.00,1.70,3.02,4.39,2.08,2.47,1.98,2.80,,
February,5.73,0.90,1.19,1.87,1.98,0.79,3.43,2.35,0.06,1.90,,
March,3.53,4.15,0.18,2.23,1.32,0.59,0.88,0.98,1.77,1.87,,
April,2.32,0.69,2.20,0.33,0.26,1.19,0.21,1.63,2.47,0.66,,
May,2.02,0.72,2.39,1.90,3.87,0.22,1.71,1.89,0.98,2.36,,
June,1.25,0.99,1.83,3.89,2.25,2.28,1.32,3.97,1.06,1.46,,
July,2.69,0.85,2.70,2.40,4.30,4.08,2.89,1.63,1.71,3.34,,
August,3.58,3.22,1.70,3.43,1.59,2.60,2.35,4.57,0.99,3.86,,
September,3.85,3.43,3.06,1.30,2.09,2.38,2.71,3.16,0.23,3.48,,
October,0.97,2.33,2.86,1.73,4.68,1.49,1.15,2.72,2.62,7.23,,
November,4.29,4.78,1.33,5.84,0.84,0.87,3.40,1.72,3.57,4.96,,
December,2.14,2.42,0.77,1.70,1.88,2.72,3.12,3.27,4.82,3.27,,
Total,34.71,26.44,21.21,28.32,28.08,23.60,25.25,30.36,22.26,37.19,,
Calc annual,34.71,26.44,21.21,28.32,28.08,23.60,25.25,30.36,22.26,37.19,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
