"GLEN NOE",,,,,,,,,,,,
Grid ref,NN061341,Long,-5.148496,Lat,56.459044,,,,,,,
Station no,5405/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,-999.00,6.05,,
February,,,,,,,,,,7.69,,
March,,,,,,,,,,1.74,,
April,,,,,,,,,,7.47,,
May,,,,,,,,,,3.18,,
June,,,,,,,,,,5.26,,
July,,,,,,,,,,5.07,,
August,,,,,,,,,,6.17,,
September,,,,,,,,,,3.63,,
October,,,,,,,,,,3.92,,
November,,,,,,,,,-999.00,9.91,,
December,,,,,,,,,13.44,11.08,,
Total,,,,,,,,,-999.00,71.17,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.44,71.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1012.44,0.00,,
