"BRIDGWATER (R.O.F.)",,,,,,,,,,,,
Grid ref,ST332426,Long,-2.957017,Lat,51.178714,,,,,,,
Station no,2011/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.76,2.48,,,,,,,,,,
February,2.84,1.22,,,,,,,,,,
March,3.43,2.30,,,,,,,,,,
April,3.55,2.54,,,,,,,,,,
May,2.50,3.39,,,,,,,,,,
June,0.65,2.60,,,,,,,,,,
July,1.57,0.53,,,,,,,,,,
August,4.91,4.32,,,,,,,,,,
September,2.75,3.20,,,,,,,,,,
October,0.82,4.03,,,,,,,,,,
November,6.37,4.49,,,,,,,,,,
December,2.03,2.80,,,,,,,,,,
Total,34.18,33.90,,,,,,,,,,
Calc annual,34.18,33.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
