"BRIDGE OF EARN (BALLENDRICK)",,,,,,,,,,,,
Grid ref,NO119175,Long,-3.426795,Lat,56.341629,,,,,,,
Station no,5540,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,2.21,0.44,1.84,1.99,2.38,4.18,2.99,1.01,3.06,,
February,3.13,0.47,0.74,3.28,1.60,1.32,3.89,2.77,0.54,3.36,,
March,2.33,2.41,0.63,3.17,2.06,1.62,2.53,2.72,1.81,1.67,,
April,1.71,2.10,2.22,1.92,0.85,0.80,0.77,1.48,2.46,2.44,,
May,2.30,2.10,2.45,6.28,2.97,1.03,2.47,2.32,1.13,3.54,,
June,1.92,2.27,1.70,2.75,1.17,3.09,0.85,4.34,1.92,2.18,,
July,3.50,2.05,3.39,1.85,1.16,4.70,4.62,6.20,4.25,2.72,,
August,4.31,3.16,2.36,3.69,0.96,6.44,5.18,3.62,0.60,3.74,,
September,2.10,1.38,3.11,2.90,1.36,4.21,2.08,3.16,0.69,2.03,,
October,0.47,3.08,1.54,6.28,2.19,1.68,1.56,2.08,2.34,5.22,,
November,7.75,2.01,3.81,5.92,1.86,0.50,1.87,0.90,5.31,3.92,,
December,3.09,2.20,4.04,3.68,5.69,4.15,4.73,5.33,5.89,3.34,,
Total,35.68,25.44,26.43,43.56,23.86,31.92,34.73,37.91,27.95,37.22,,
Calc annual,35.68,25.44,26.43,43.56,23.86,31.92,34.73,37.91,27.95,37.22,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
