"LOCH TURRET (MEAL DUBH)",,,,,,,,,,,,
Grid ref,NN863297,Long,-3.846008,Lat,56.445719,,,,,,,
Station no,5545/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.20,3.70,2.40,,4.50,4.90,,,,,,
February,7.00,1.70,2.70,,3.50,2.75,,,,,,
March,5.50,4.60,1.95,,4.30,4.65,,,,,,
April,5.00,2.90,3.85,,3.20,1.45,,,,,,
May,2.00,2.80,2.90,,2.70,3.25,,,,,,
June,13.00,3.80,3.40,4.50,3.00,3.50,,,,,,
July,4.30,2.95,6.20,3.60,1.70,5.70,,,,,,
August,8.80,6.30,3.00,4.40,1.70,8.70,,,,,,
September,5.80,2.65,6.85,6.75,4.15,7.90,,,,,,
October,1.85,5.10,3.10,8.75,5.40,,,,,,,
November,,3.00,,,2.50,,,,,,,
December,,4.25,,,11.25,,,,,,,
Total,,43.75,,,47.90,,,,,,,
Calc annual,60.45,43.75,36.35,28.00,47.90,42.80,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
