"LOCH TURRET (STONEFIELD HILL)",,,,,,,,,,,,
Grid ref,NN839286,Long,-3.884428,Lat,56.435257,,,,,,,
Station no,5545/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.80,3.50,2.50,8.50,3.90,4.15,,5.20,3.30,7.75,,
February,6.80,2.00,2.50,8.50,3.00,2.25,,4.75,2.75,9.90,,
March,4.30,4.72,2.50,7.83,3.75,4.30,,4.40,,4.30,,
April,4.20,2.55,2.75,3.00,2.75,1.65,2.70,3.00,9.50,6.00,,
May,1.90,2.55,3.25,6.25,3.10,3.30,4.40,4.75,0.45,4.65,,
June,3.46,3.00,2.50,3.95,2.60,3.50,2.65,5.90,2.80,3.65,,
July,4.55,3.85,6.40,4.85,1.50,7.00,7.00,6.05,6.70,6.20,,
August,7.65,5.95,3.60,5.00,1.50,7.80,6.20,6.35,2.40,7.10,,
September,4.50,2.40,3.80,6.95,3.60,8.05,4.50,7.45,1.50,5.45,,
October,2.00,5.00,4.50,10.00,4.70,4.35,4.10,4.70,7.15,,,
November,15.60,2.70,,,3.05,1.65,4.70,2.50,10.95,,,
December,,4.00,,,10.20,12.00,9.75,8.00,10.70,,,
Total,,42.22,,,43.65,60.00,,63.05,58.20,,,
Calc annual,61.76,42.22,34.30,64.83,43.65,60.00,46.00,63.05,58.20,55.00,,
Difference,NaN,0.00,NaN,NaN,-0.00,0.00,NaN,-0.00,0.00,NaN,,
