"WARMINSTER (HENFORD)",,,,,,,,,,,,
Grid ref,ST875445,Long,-2.180285,Lat,51.199576,,,,,,,
Station no,1519,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,3.29,0.84,2.05,3.85,4.81,2.57,3.67,,,,
February,5.64,0.96,1.49,3.42,2.38,0.27,4.12,3.72,,,,
March,3.34,3.38,0.68,3.69,1.38,1.17,2.28,1.50,,,,
April,3.60,1.48,2.73,0.22,0.47,1.19,0.29,1.13,,,,
May,2.58,3.74,2.18,1.93,4.89,0.34,1.64,3.02,,,,
June,1.17,1.64,1.68,3.85,3.19,1.83,1.84,4.74,,,,
July,1.50,0.75,4.22,2.76,0.35,2.48,4.53,1.81,,,,
August,5.84,4.13,2.68,5.31,0.42,3.71,3.45,3.46,,,,
September,2.85,3.50,4.08,2.94,1.40,3.30,3.37,4.90,,,,
October,0.76,4.38,3.80,2.72,2.65,2.03,2.89,2.88,,,,
November,8.61,4.02,1.72,7.11,3.79,0.80,2.56,2.65,,,,
December,2.55,2.02,0.88,3.09,4.52,4.12,3.44,4.17,,,,
Total,42.45,33.29,26.98,39.09,29.29,26.05,32.98,37.65,,,,
Calc annual,42.45,33.29,26.98,39.09,29.29,26.05,32.98,37.65,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,,
