"LOCH MAREE (LETTEREWE)",,,,,,,,,,,,
Grid ref,NG953712,Long,-5.435328,Lat,57.683922,,,,,,,
Station no,5784/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.46,6.71,5.71,,
February,,,,,,,,8.95,2.93,5.20,,
March,,,,,,,,2.69,3.13,1.37,,
April,,,,,,,,4.39,6.10,6.21,,
May,,,,,,,,4.83,2.66,2.38,,
June,,,,,,,,2.85,6.50,10.88,,
July,,,,,,,,2.43,9.91,4.37,,
August,,,,,,,,4.46,5.66,6.56,,
September,,,,,,,7.35,4.08,2.90,3.93,,
October,,,,,,,9.67,9.89,13.14,2.61,,
November,,,,,,,4.64,3.25,9.37,6.54,,
December,,,,,,,10.97,7.65,9.51,8.66,,
Total,,,,,,,,64.93,78.52,64.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.63,64.93,78.52,64.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
