"BRIDGE OF DON (BRAEHEAD)",,,,,,,,,,,,
Grid ref,NJ938098,Long,-2.104188,Lat,57.178984,,,,,,,
Station no,5645/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.58,1.83,0.82,0.79,0.79,3.42,2.36,3.39,1.93,3.39,,
February,3.01,1.05,0.98,2.18,2.37,1.78,2.38,2.83,0.18,3.25,,
March,2.67,3.63,0.09,1.66,1.54,1.41,2.29,3.77,1.11,1.03,,
April,2.29,1.24,2.54,1.56,0.74,1.49,1.17,1.34,2.63,1.42,,
May,1.44,2.25,2.08,3.04,2.95,0.53,1.30,2.87,1.61,0.68,,
June,1.96,3.10,2.39,2.33,1.40,1.31,2.28,1.85,1.55,1.76,,
July,4.96,1.87,3.87,2.71,0.98,5.37,8.88,5.62,1.35,3.88,,
August,4.13,3.16,2.71,2.45,0.24,3.74,3.77,3.87,0.53,3.42,,
September,1.22,2.08,4.50,1.58,2.07,4.89,3.12,2.02,0.54,2.29,,
October,0.71,2.16,1.54,4.13,4.12,2.87,1.35,1.62,3.26,6.94,,
November,7.36,3.02,2.29,4.80,2.33,1.51,1.24,0.56,3.57,4.55,,
December,1.95,2.07,2.52,2.93,4.45,3.61,3.50,4.24,3.57,1.99,,
Total,35.28,27.46,26.33,30.16,23.98,31.93,33.64,33.98,21.83,34.60,,
Calc annual,35.28,27.46,26.33,30.16,23.98,31.93,33.64,33.98,21.83,34.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
