"GREAT SHELFORD VICARAGE",,,,,,,,,,,,
Grid ref,TL459519,Long,0.130848,Lat,52.146123,,,,,,,
Station no,1193/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.10,1.18,0.87,0.95,1.98,2.52,1.06,2.19,2.76,1.86,,
February,2.65,0.62,1.39,1.71,1.49,0.62,1.70,2.34,0.10,1.09,,
March,2.72,3.13,0.53,1.76,1.37,0.51,1.25,0.73,2.24,1.77,,
April,3.20,1.05,2.25,0.22,0.45,1.16,1.20,1.00,1.55,0.36,,
May,2.46,1.38,1.46,3.32,2.37,0.39,0.62,2.36,0.49,0.49,,
June,1.18,1.01,1.75,1.77,2.01,1.81,1.80,5.96,1.52,1.74,,
July,0.95,0.54,2.53,2.95,0.12,3.03,2.49,3.26,4.15,3.63,,
August,3.41,3.14,2.17,3.49,1.17,3.56,2.90,2.27,0.73,2.70,,
September,2.46,3.00,1.33,1.86,2.27,1.63,2.99,2.05,0.08,3.65,,
October,1.11,1.76,2.45,1.65,2.82,1.07,1.74,1.85,1.53,4.16,,
November,2.96,3.02,1.30,3.04,1.05,0.91,1.30,1.46,1.38,2.80,,
December,1.34,2.06,0.56,1.44,1.66,1.88,1.60,2.38,3.08,2.97,,
Total,26.54,21.89,18.59,24.16,18.76,19.09,20.65,27.85,19.61,27.22,,
Calc annual,26.54,21.89,18.59,24.16,18.76,19.09,20.65,27.85,19.61,27.22,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
