"PENRITH (GREAT SALKELD)",,,,,,,,,,,,
Grid ref,NY551365,Long,-2.698593,Lat,54.721480,,,,,,,
Station no,3609/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.79,3.34,1.04,3.07,1.72,2.58,2.93,2.67,2.05,3.87,,
February,3.67,0.70,1.20,2.12,1.06,0.85,2.46,3.56,0.44,2.26,,
March,2.62,0.98,0.39,2.18,0.89,1.22,1.46,0.84,1.47,1.19,,
April,2.13,2.06,2.54,0.62,0.68,1.17,0.57,0.98,2.65,2.43,,
May,1.28,1.71,1.84,2.83,2.38,1.32,1.75,3.50,1.40,2.33,,
June,0.81,2.15,1.85,2.50,2.53,3.22,1.36,2.64,3.53,0.86,,
July,1.96,2.21,2.51,2.74,1.61,3.40,3.30,3.47,2.37,4.04,,
August,3.33,4.06,3.49,4.08,2.46,8.71,4.67,4.11,0.44,3.16,,
September,2.67,2.46,3.49,4.79,2.16,2.41,3.19,4.41,1.08,1.38,,
October,1.06,3.89,1.45,8.32,2.29,2.03,3.46,3.69,3.42,3.03,,
November,8.37,1.94,3.16,6.30,1.62,1.36,0.78,1.16,4.27,5.68,,
December,5.54,3.57,1.63,3.42,4.05,3.34,3.24,2.59,4.84,4.08,,
Total,36.23,29.07,24.59,42.97,23.45,31.61,29.17,33.62,27.96,34.31,,
Calc annual,36.23,29.07,24.59,42.97,23.45,31.61,29.17,33.62,27.96,34.31,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
