"OKEHAMPTON (WATERWORKS)",,,,,,,,,,,,
Grid ref,SX587938,Long,-4.003337,Lat,50.726590,,,,,,,
Station no,1850/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.73,6.30,1.10,2.91,7.33,6.76,5.35,6.11,9.53,4.92,,
February,7.58,1.41,2.52,6.20,4.86,0.27,10.07,6.97,0.47,6.69,,
March,5.95,4.98,1.96,4.66,2.33,3.35,5.52,1.36,6.52,3.50,,
April,4.69,4.35,4.77,1.30,1.73,1.61,0.44,1.50,5.21,4.47,,
May,5.04,3.59,4.11,4.49,4.81,1.28,2.41,5.08,1.78,2.71,,
June,2.12,2.51,2.44,5.10,3.69,2.95,2.84,3.37,1.72,2.04,,
July,3.54,1.62,4.24,5.86,2.62,4.21,5.54,3.74,2.54,6.43,,
August,5.73,10.08,3.32,4.57,0.74,4.23,4.87,5.99,2.09,3.83,,
September,5.22,5.31,5.80,4.65,2.60,8.21,5.42,6.97,0.49,9.92,,
October,1.53,6.02,5.28,5.63,3.08,2.76,4.55,6.19,7.03,12.50,,
November,9.73,6.93,4.20,10.72,6.13,2.99,3.46,4.70,11.00,8.29,,
December,6.15,5.14,2.04,5.74,9.13,7.20,5.08,6.35,13.33,7.27,,
Total,65.01,58.24,41.78,61.83,49.05,45.82,55.55,58.33,61.71,72.57,,
Calc annual,65.01,58.24,41.78,61.83,49.05,45.82,55.55,58.33,61.71,72.57,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
