"COMBER (BALLYWILLIAM)",,,,,,,,,,,,
Grid ref,NW564223,Long,-5.767200,Lat,54.537197,,,,,,,
Station no,6201/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.73,1.15,2.91,,,,,,,,
February,,0.72,1.01,3.15,,,,,,,,
March,,1.01,0.27,,,,,,,,,
April,,1.51,1.56,,,,,,,,,
May,,1.40,2.05,,,,,,,,,
June,,2.09,1.68,,,,,,,,,
July,,1.36,4.24,,,,,,,,,
August,,5.92,2.60,,,,,,,,,
September,,1.30,2.31,,,,,,,,,
October,,3.48,2.42,,,,,,,,,
November,,2.43,2.06,,,,,,,,,
December,,3.36,2.22,,,,,,,,,
Total,,28.31,23.57,,,,,,,,,
Calc annual,0.00,28.31,23.57,6.06,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
